Level,year,re288_state,base_state,Outs,Balls,Strikes,n_obs,run_expectancy
Area Code Games,2025,000|0|0-0,000,0,0,0,529,0.42344045368620037
Area Code Games,2025,000|0|0-1,000,0,0,1,233,0.48497854077253216
Area Code Games,2025,000|0|0-2,000,0,0,2,125,0.44
Area Code Games,2025,000|0|1-0,000,0,1,0,230,0.3826086956521739
Area Code Games,2025,000|0|1-1,000,0,1,1,214,0.45794392523364486
Area Code Games,2025,000|0|1-2,000,0,1,2,185,0.3837837837837838
Area Code Games,2025,000|0|2-0,000,0,2,0,81,0.4444444444444444
Area Code Games,2025,000|0|2-1,000,0,2,1,119,0.42857142857142855
Area Code Games,2025,000|0|2-2,000,0,2,2,153,0.4444444444444444
Area Code Games,2025,000|0|3-0,000,0,3,0,31,0.6774193548387096
Area Code Games,2025,000|0|3-1,000,0,3,1,59,0.559322033898305
Area Code Games,2025,000|0|3-2,000,0,3,2,128,0.5625
Area Code Games,2025,000|1|0-0,000,1,0,0,323,0.17956656346749225
Area Code Games,2025,000|1|0-1,000,1,0,1,140,0.12857142857142856
Area Code Games,2025,000|1|0-2,000,1,0,2,78,0.02564102564102564
Area Code Games,2025,000|1|1-0,000,1,1,0,160,0.23125
Area Code Games,2025,000|1|1-1,000,1,1,1,142,0.22535211267605634
Area Code Games,2025,000|1|1-2,000,1,1,2,108,0.18518518518518517
Area Code Games,2025,000|1|2-0,000,1,2,0,69,0.2463768115942029
Area Code Games,2025,000|1|2-1,000,1,2,1,91,0.18681318681318682
Area Code Games,2025,000|1|2-2,000,1,2,2,87,0.1839080459770115
Area Code Games,2025,000|1|3-0,000,1,3,0,27,0.18518518518518517
Area Code Games,2025,000|1|3-1,000,1,3,1,52,0.25
Area Code Games,2025,000|1|3-2,000,1,3,2,63,0.15873015873015872
Area Code Games,2025,000|2|0-0,000,2,0,0,251,0.06374501992031872
Area Code Games,2025,000|2|0-1,000,2,0,1,129,0.07751937984496124
Area Code Games,2025,000|2|0-2,000,2,0,2,72,0.05555555555555555
Area Code Games,2025,000|2|1-0,000,2,1,0,95,0.042105263157894736
Area Code Games,2025,000|2|1-1,000,2,1,1,100,0.06
Area Code Games,2025,000|2|1-2,000,2,1,2,104,0.0
Area Code Games,2025,000|2|2-0,000,2,2,0,37,0.05405405405405406
Area Code Games,2025,000|2|2-1,000,2,2,1,49,0.14285714285714285
Area Code Games,2025,000|2|2-2,000,2,2,2,87,0.05747126436781609
Area Code Games,2025,000|2|3-0,000,2,3,0,14,0.0
Area Code Games,2025,000|2|3-1,000,2,3,1,25,0.12
Area Code Games,2025,000|2|3-2,000,2,3,2,54,0.14814814814814814
Area Code Games,2025,001|0|0-0,001,0,0,0,5,0.6
Area Code Games,2025,001|0|0-1,001,0,0,1,4,0.5
Area Code Games,2025,001|0|0-2,001,0,0,2,1,0.0
Area Code Games,2025,001|0|1-0,001,0,1,0,2,0.5
Area Code Games,2025,001|0|1-1,001,0,1,1,3,0.6666666666666666
Area Code Games,2025,001|0|1-2,001,0,1,2,3,0.6666666666666666
Area Code Games,2025,001|0|2-0,001,0,2,0,3,0.6666666666666666
Area Code Games,2025,001|0|2-1,001,0,2,1,3,0.3333333333333333
Area Code Games,2025,001|0|2-2,001,0,2,2,2,0.5
Area Code Games,2025,001|0|3-1,001,0,3,1,1,0.0
Area Code Games,2025,001|0|3-2,001,0,3,2,5,1.0
Area Code Games,2025,001|1|0-0,001,1,0,0,12,0.6666666666666666
Area Code Games,2025,001|1|0-1,001,1,0,1,4,1.5
Area Code Games,2025,001|1|0-2,001,1,0,2,2,2.0
Area Code Games,2025,001|1|1-0,001,1,1,0,7,0.42857142857142855
Area Code Games,2025,001|1|1-1,001,1,1,1,9,0.8888888888888888
Area Code Games,2025,001|1|1-2,001,1,1,2,3,0.3333333333333333
Area Code Games,2025,001|1|2-0,001,1,2,0,3,1.0
Area Code Games,2025,001|1|2-1,001,1,2,1,6,1.1666666666666667
Area Code Games,2025,001|1|2-2,001,1,2,2,7,0.8571428571428571
Area Code Games,2025,001|1|3-0,001,1,3,0,1,0.0
Area Code Games,2025,001|1|3-1,001,1,3,1,2,0.0
Area Code Games,2025,001|1|3-2,001,1,3,2,2,0.0
Area Code Games,2025,001|2|0-0,001,2,0,0,11,0.18181818181818182
Area Code Games,2025,001|2|0-1,001,2,0,1,2,0.0
